date,id,name,items,total_list_size
01/10/2016,Y58,SOUTH WEST COMMISSIONING REGION,148719,5638750
01/11/2016,Y56,LONDON COMMISSIONING REGION,130477,9466426
01/11/2016,Y59,SOUTH EAST COMMISSIONING REGION,190349,9059775
01/11/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,185446,8805452
01/11/2016,Y60,MIDLANDS COMMISSIONING REGION,234906,10793408
01/11/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,159478,6684222
01/11/2016,Y62,NORTH WEST COMMISSIONING REGION,179903,7296069
01/11/2016,Y58,SOUTH WEST COMMISSIONING REGION,152841,5638750
01/12/2016,Y56,LONDON COMMISSIONING REGION,130007,9466426
01/12/2016,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,187673,8805452
01/12/2016,Y59,SOUTH EAST COMMISSIONING REGION,193414,9059775
01/12/2016,Y60,MIDLANDS COMMISSIONING REGION,237798,10793408
01/12/2016,Y61,EAST OF ENGLAND COMMISSIONING REGION,162466,6684222
01/12/2016,Y62,NORTH WEST COMMISSIONING REGION,183868,7296069
01/12/2016,Y58,SOUTH WEST COMMISSIONING REGION,157034,5638750
01/01/2017,Y56,LONDON COMMISSIONING REGION,127251,9584267
01/01/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,179954,8850468
01/01/2017,Y59,SOUTH EAST COMMISSIONING REGION,188479,9122155
01/01/2017,Y60,MIDLANDS COMMISSIONING REGION,230907,10867850
01/01/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,156364,6724132
01/01/2017,Y62,NORTH WEST COMMISSIONING REGION,178666,7342575
01/01/2017,Y58,SOUTH WEST COMMISSIONING REGION,149294,5679438
01/02/2017,Y56,LONDON COMMISSIONING REGION,118687,9584267
01/02/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,166950,8850468
01/02/2017,Y59,SOUTH EAST COMMISSIONING REGION,173212,9122155
01/02/2017,Y60,MIDLANDS COMMISSIONING REGION,213897,10867850
01/02/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,146173,6724132
01/02/2017,Y62,NORTH WEST COMMISSIONING REGION,164178,7342575
01/02/2017,Y58,SOUTH WEST COMMISSIONING REGION,139260,5679438
01/03/2017,Y56,LONDON COMMISSIONING REGION,133930,9584267
01/03/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,190377,8850468
01/03/2017,Y59,SOUTH EAST COMMISSIONING REGION,198331,9122155
01/03/2017,Y60,MIDLANDS COMMISSIONING REGION,243628,10867850
01/03/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,165401,6724132
01/03/2017,Y62,NORTH WEST COMMISSIONING REGION,188862,7342575
01/03/2017,Y58,SOUTH WEST COMMISSIONING REGION,158341,5679438
01/04/2017,Y56,LONDON COMMISSIONING REGION,116259,9637413
01/04/2017,Y59,SOUTH EAST COMMISSIONING REGION,172809,9145638
01/04/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,167753,8859935
01/04/2017,Y60,MIDLANDS COMMISSIONING REGION,213637,10888992
01/04/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,146440,6740050
01/04/2017,Y62,NORTH WEST COMMISSIONING REGION,165398,7359641
01/04/2017,Y58,SOUTH WEST COMMISSIONING REGION,140112,5696170
01/05/2017,Y56,LONDON COMMISSIONING REGION,127433,9653037
01/05/2017,Y59,SOUTH EAST COMMISSIONING REGION,186885,9147397
01/05/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,181391,8862140
01/05/2017,Y60,MIDLANDS COMMISSIONING REGION,230943,10895933
01/05/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,158530,6744075
01/05/2017,Y62,NORTH WEST COMMISSIONING REGION,178128,7362396
01/05/2017,Y58,SOUTH WEST COMMISSIONING REGION,151190,5698435
01/06/2017,Y56,LONDON COMMISSIONING REGION,125651,9674818
01/06/2017,Y59,SOUTH EAST COMMISSIONING REGION,185349,9157124
01/06/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,181365,8866619
01/06/2017,Y60,MIDLANDS COMMISSIONING REGION,229695,10910884
01/06/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,155858,6751124
01/06/2017,Y62,NORTH WEST COMMISSIONING REGION,179051,7369148
01/06/2017,Y58,SOUTH WEST COMMISSIONING REGION,149209,5706891
01/07/2017,Y56,LONDON COMMISSIONING REGION,122291,9695070
01/07/2017,Y59,SOUTH EAST COMMISSIONING REGION,179250,9165694
01/07/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,174298,8870273
01/07/2017,Y60,MIDLANDS COMMISSIONING REGION,221881,10916401
01/07/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,152120,6759405
01/07/2017,Y62,NORTH WEST COMMISSIONING REGION,172705,7372713
01/07/2017,Y58,SOUTH WEST COMMISSIONING REGION,145810,5712218
01/08/2017,Y56,LONDON COMMISSIONING REGION,124400,9712419
01/08/2017,Y59,SOUTH EAST COMMISSIONING REGION,184209,9168404
01/08/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,180981,8873077
01/08/2017,Y60,MIDLANDS COMMISSIONING REGION,229957,10925310
01/08/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,156344,6765995
01/08/2017,Y62,NORTH WEST COMMISSIONING REGION,178421,7377481
01/08/2017,Y58,SOUTH WEST COMMISSIONING REGION,150556,5715243
01/09/2017,Y56,LONDON COMMISSIONING REGION,121839,9731549
01/09/2017,Y59,SOUTH EAST COMMISSIONING REGION,180284,9177967
01/09/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,174560,8877628
01/09/2017,Y60,MIDLANDS COMMISSIONING REGION,223652,10936507
01/09/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,152700,6774929
01/09/2017,Y62,NORTH WEST COMMISSIONING REGION,172271,7383647
01/09/2017,Y58,SOUTH WEST COMMISSIONING REGION,146700,5723787
01/10/2017,Y56,LONDON COMMISSIONING REGION,125463,9749595
01/10/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,177683,8901208
01/10/2017,Y59,SOUTH EAST COMMISSIONING REGION,184141,9194706
01/10/2017,Y60,MIDLANDS COMMISSIONING REGION,227038,10964243
01/10/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,156047,6777482
01/10/2017,Y62,NORTH WEST COMMISSIONING REGION,175975,7398067
01/10/2017,Y58,SOUTH WEST COMMISSIONING REGION,148964,5733869
01/11/2017,Y56,LONDON COMMISSIONING REGION,124021,9773510
01/11/2017,Y59,SOUTH EAST COMMISSIONING REGION,181557,9206812
01/11/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,175809,8912424
01/11/2017,Y60,MIDLANDS COMMISSIONING REGION,227315,10975198
01/11/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,154797,6787867
01/11/2017,Y62,NORTH WEST COMMISSIONING REGION,174213,7409265
01/11/2017,Y58,SOUTH WEST COMMISSIONING REGION,148699,5745453
01/12/2017,Y56,LONDON COMMISSIONING REGION,121026,9797317
01/12/2017,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,172347,8919726
01/12/2017,Y59,SOUTH EAST COMMISSIONING REGION,180800,9215380
01/12/2017,Y60,MIDLANDS COMMISSIONING REGION,221830,10984521
01/12/2017,Y61,EAST OF ENGLAND COMMISSIONING REGION,152095,6795178
01/12/2017,Y62,NORTH WEST COMMISSIONING REGION,171360,7415317
01/12/2017,Y58,SOUTH WEST COMMISSIONING REGION,146238,5752688
01/01/2018,Y56,LONDON COMMISSIONING REGION,126682,9807573
01/01/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,177950,8921069
01/01/2018,Y59,SOUTH EAST COMMISSIONING REGION,185486,9218456
01/01/2018,Y60,MIDLANDS COMMISSIONING REGION,232042,10995171
01/01/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,157488,6798714
01/01/2018,Y62,NORTH WEST COMMISSIONING REGION,177362,7417819
01/01/2018,Y58,SOUTH WEST COMMISSIONING REGION,150783,5754594
01/02/2018,Y56,LONDON COMMISSIONING REGION,113059,9827857
01/02/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,156881,8925148
01/02/2018,Y59,SOUTH EAST COMMISSIONING REGION,164042,9226453
01/02/2018,Y60,MIDLANDS COMMISSIONING REGION,206058,11003504
01/02/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,139062,6804492
01/02/2018,Y62,NORTH WEST COMMISSIONING REGION,157682,7422198
01/02/2018,Y58,SOUTH WEST COMMISSIONING REGION,134159,5759235
01/03/2018,Y56,LONDON COMMISSIONING REGION,122106,9841114
01/03/2018,Y59,SOUTH EAST COMMISSIONING REGION,179197,9230630
01/03/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,173538,8927111
01/03/2018,Y60,MIDLANDS COMMISSIONING REGION,225707,11008181
01/03/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,154367,6809411
01/03/2018,Y62,NORTH WEST COMMISSIONING REGION,174433,7426252
01/03/2018,Y58,SOUTH WEST COMMISSIONING REGION,145491,5761575
01/04/2018,Y56,LONDON COMMISSIONING REGION,116170,9851208
01/04/2018,Y59,SOUTH EAST COMMISSIONING REGION,170745,9234226
01/04/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,165751,8933966
01/04/2018,Y60,MIDLANDS COMMISSIONING REGION,213204,11010643
01/04/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,144979,6814348
01/04/2018,Y62,NORTH WEST COMMISSIONING REGION,164130,7429879
01/04/2018,Y58,SOUTH WEST COMMISSIONING REGION,140273,5764573
01/05/2018,Y56,LONDON COMMISSIONING REGION,121655,9863204
01/05/2018,Y59,SOUTH EAST COMMISSIONING REGION,176527,9241466
01/05/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,172218,8937310
01/05/2018,Y60,MIDLANDS COMMISSIONING REGION,223222,11018365
01/05/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,151031,6820136
01/05/2018,Y62,NORTH WEST COMMISSIONING REGION,171884,7434615
01/05/2018,Y58,SOUTH WEST COMMISSIONING REGION,144135,5769210
01/06/2018,Y56,LONDON COMMISSIONING REGION,116342,9877698
01/06/2018,Y59,SOUTH EAST COMMISSIONING REGION,170444,9247806
01/06/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,166073,8941113
01/06/2018,Y60,MIDLANDS COMMISSIONING REGION,215620,11026097
01/06/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,145667,6826738
01/06/2018,Y62,NORTH WEST COMMISSIONING REGION,165499,7439481
01/06/2018,Y58,SOUTH WEST COMMISSIONING REGION,139030,5773847
01/07/2018,Y56,LONDON COMMISSIONING REGION,118153,9893237
01/07/2018,Y59,SOUTH EAST COMMISSIONING REGION,171033,9253837
01/07/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,166543,8943058
01/07/2018,Y60,MIDLANDS COMMISSIONING REGION,216112,11032808
01/07/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,145367,6833477
01/07/2018,Y62,NORTH WEST COMMISSIONING REGION,167480,7443687
01/07/2018,Y58,SOUTH WEST COMMISSIONING REGION,140421,5777167
01/08/2018,Y56,LONDON COMMISSIONING REGION,120815,9911833
01/08/2018,Y59,SOUTH EAST COMMISSIONING REGION,177140,9262412
01/08/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,173885,8947340
01/08/2018,Y60,MIDLANDS COMMISSIONING REGION,225804,11041305
01/08/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,152222,6840428
01/08/2018,Y62,NORTH WEST COMMISSIONING REGION,175821,7448698
01/08/2018,Y58,SOUTH WEST COMMISSIONING REGION,145025,5781484
01/09/2018,Y56,LONDON COMMISSIONING REGION,113085,9932380
01/09/2018,Y59,SOUTH EAST COMMISSIONING REGION,165143,9271342
01/09/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,160247,8952214
01/09/2018,Y60,MIDLANDS COMMISSIONING REGION,210244,11052155
01/09/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,142458,6847891
01/09/2018,Y62,NORTH WEST COMMISSIONING REGION,159583,7454933
01/09/2018,Y58,SOUTH WEST COMMISSIONING REGION,136519,5785496
01/10/2018,Y56,LONDON COMMISSIONING REGION,124603,9950977
01/10/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,173216,8974640
01/10/2018,Y59,SOUTH EAST COMMISSIONING REGION,179825,9287478
01/10/2018,Y60,MIDLANDS COMMISSIONING REGION,228742,11077034
01/10/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,153676,6851229
01/10/2018,Y62,NORTH WEST COMMISSIONING REGION,176893,7470061
01/10/2018,Y58,SOUTH WEST COMMISSIONING REGION,146830,5797346
01/11/2018,Y56,LONDON COMMISSIONING REGION,119674,9975083
01/11/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,167217,8986731
01/11/2018,Y59,SOUTH EAST COMMISSIONING REGION,173349,9298771
01/11/2018,Y60,MIDLANDS COMMISSIONING REGION,220427,11094511
01/11/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,148068,6860513
01/11/2018,Y62,NORTH WEST COMMISSIONING REGION,171426,7481327
01/11/2018,Y58,SOUTH WEST COMMISSIONING REGION,142969,5805507
01/12/2018,Y56,LONDON COMMISSIONING REGION,116445,9997323
01/12/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,164760,8993137
01/12/2018,Y59,SOUTH EAST COMMISSIONING REGION,171620,9309098
01/12/2018,Y60,MIDLANDS COMMISSIONING REGION,216418,11103879
01/12/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,146612,6868222
01/12/2018,Y62,NORTH WEST COMMISSIONING REGION,165298,7488433
01/12/2018,Y58,SOUTH WEST COMMISSIONING REGION,140870,5813409
01/01/2019,Y56,LONDON COMMISSIONING REGION,124132,10010236
01/01/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,170163,8994425
01/01/2019,Y59,SOUTH EAST COMMISSIONING REGION,178609,9310892
01/01/2019,Y60,MIDLANDS COMMISSIONING REGION,227679,11110020
01/01/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,151620,6871714
01/01/2019,Y62,NORTH WEST COMMISSIONING REGION,173345,7491889
01/01/2019,Y58,SOUTH WEST COMMISSIONING REGION,146668,5817060
01/02/2019,Y56,LONDON COMMISSIONING REGION,109994,10030639
01/02/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,151849,8999077
01/02/2019,Y59,SOUTH EAST COMMISSIONING REGION,157395,9319117
01/02/2019,Y60,MIDLANDS COMMISSIONING REGION,203146,11120180
01/02/2019,Y61,EAST OF ENGLAND COMMISSIONING REGION,135512,6879350
01/02/2019,Y62,NORTH WEST COMMISSIONING REGION,154559,7498646
01/02/2019,Y58,SOUTH WEST COMMISSIONING REGION,130086,5821677
01/03/2019,Y56,LONDON COMMISSIONING REGION,117885,10046810
01/03/2019,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,161043,9001881
